Element-Name    E_S(Meter)       Beta(X)       Beta(Y)      Alpha(X)      Alpha(Y)      Gamma(X)      Gamma(Y)      Phase(X)      Phase(Y) 
      R3BPM6         52.93       3.00139       6.41851        2.6397      -3.95658       2.65477       2.59477        3.2006       1.91952 
       RXD20         53.03           2.5       7.23577       2.37422      -4.21606       2.65477       2.59477       3.20641       1.92185 
       R3SD2         53.15       1.96841       8.28499       2.05565      -4.52743       2.65477       2.59477       3.21503       1.92432 
       RXD21         53.51      0.832406        11.881       1.09993      -5.46154       2.65477       2.59477        3.2604        1.9301 
       RXDMX         54.73       2.21897       17.0454      -2.46282       2.28943       3.18413       0.36617       3.55411       1.94254 
       RXD22        55.165       4.96414       15.1228      -3.84792       2.13015       3.18413       0.36617       3.57503       1.94686 
       R3QD6        55.405        7.4239        13.172      -6.62976       5.81521       6.05527       2.64323       3.58139       1.94953 
       RXD23         55.64       10.8743       10.5849      -8.05275       5.19405       6.05527       2.64323       3.58555        1.9527 
      R3BPM7         55.64       10.8743       10.5849      -8.05275       5.19405       6.05527       2.64323       3.58555        1.9527 
       RXD24            56        17.457        7.1877      -10.2327       4.24249       6.05527       2.64323       3.58971       1.95927 
       R3QF7         56.35       18.1817       6.70318       8.41385      -2.69762       3.94863       1.23481       3.59266       1.96779 
       RXD25         56.49       15.9033       7.48272       7.86105       -2.8705       3.94863       1.23481       3.59397       1.97093 
       R3HC2         56.49       15.9033       7.48272       7.86105       -2.8705       3.94863       1.23481       3.59397       1.97093 
       RXD26         56.65       13.4888       8.43289       7.22927      -3.06807       3.94863       1.23481       3.59571       1.97414 
       R3QD8            57       11.0215        8.9465      0.263935       1.69536     0.0970523      0.433046       3.60042       1.98035 
       R3D27        57.208       10.9159       8.25997      0.243748       1.60529     0.0970523      0.433046       3.60344        1.9842 
      R3BPM8        57.208       10.9159       8.25997      0.243748       1.60529     0.0970523      0.433046       3.60344        1.9842 
